FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.1174,1.5108,3387447.5400,696822.5179,310.4100,2.0789,5.1135,1.5108
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.1016,1.4034,3244810.7900,692127.4300,310.3800,2.2484,5.0973,1.4036
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,21.3091,3.7018,3084720.4600,727836.3161,2008.7100,3.1505,21.2987,3.7016
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,6.9438,2.4881,3264361.8400,680240.6340,465.3500,2.5233,6.9392,2.4882
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.5522,1.9754,3297786.6800,758293.4017,465.5900,2.2675,7.5487,1.9763
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.8699,1.6083,3203365.8200,688453.8146,465.2400,2.4335,7.8662,1.6077
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.0354,1.4274,3188764.9200,733431.0774,310.6200,2.1202,5.0310,1.4281
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.8913,1.4688,3109416.2600,753018.4097,310.4200,2.2546,4.8865,1.4690
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,19.7625,4.6781,3084731.2400,1084320.3110,2008.7600,3.2314,19.7528,4.6775
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.0418,1.3307,3189827.6200,705500.5450,465.5800,2.6388,8.0377,1.3299
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,4.7335,2.9836,3405311.9900,666377.8821,465.4200,2.2457,4.7289,2.9840
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.5185,1.8028,3054403.3600,768850.3288,465.5200,2.4103,7.5139,1.8022
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.9400,1.6720,3286089.4200,681559.3496,310.5900,2.3878,4.9364,1.6723
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.4995,1.1865,3297458.7900,669788.8188,310.2500,2.0994,5.4954,1.1868
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,18.1475,6.3586,3183857.8900,747559.1364,2008.8300,2.8707,18.1379,6.3579
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.5818,1.8859,3313425.7300,719000.1385,465.4200,2.5226,7.5784,1.8852
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,8.2171,1.3234,3324852.5500,600633.2535,465.3000,2.4758,8.2128,1.3237
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,8.2287,1.2708,3233238.1600,734588.3084,465.9000,2.0518,8.2248,1.2712
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.2273,1.2478,3166983.0000,734289.5897,310.2400,2.2720,5.2228,1.2477
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.9264,1.5314,3194137.5800,792626.2061,310.3300,2.1728,4.9216,1.5316
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,18.9254,6.0559,3074137.6800,690255.5143,2008.0000,3.1112,18.9155,6.0545
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.9312,1.7033,3318119.7600,693728.6675,465.4200,2.2546,7.9271,1.7043
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,3.5268,2.8190,3198612.4400,692382.6281,465.3900,2.4490,3.5215,2.8199
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.6886,1.8936,3224142.8800,793524.1864,465.6400,2.1886,7.6850,1.8933
16,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.0159,1.4107,3300410.9400,661937.4557,310.8000,1.9899,5.0123,1.4108
16,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.7986,1.6225,3252006.7000,741169.5502,310.7000,1.9723,4.7945,1.6227
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,16.6927,7.2047,2972314.3000,723656.6815,2009.0800,2.7483,16.6843,7.2034
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.0695,1.4062,3254452.4100,709671.3871,465.3600,2.3260,8.0654,1.4055
