FileSizeKB,ExecName,TaskClock,Throughput_MBps
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.0348,.1800
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.1467,.1764
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,7.8652,.1153
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,7.7129,.1168
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.2969,.4523
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,3.0100,.6333
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,7.9008,.2405
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,7.8733,.2435
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.1768,.7647
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.0470,.7800
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,8.2378,.4756
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,7.7253,.5064
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.9702,1.5918
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.9397,1.5918
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,7.6434,1.0263
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,8.0391,.9750
16,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.0309,3.9000
16,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.2057,3.7142
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,5.4091,2.8888
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,4.0136,3.9000
32,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.7434,6.6382
32,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.1135,6.1176
