FileSizeKB,ExecName,TaskClock,Cycles,PageFaults,CpuClock
1,./b3_x86,.6890,,74.9000,.6890
1,./b3_avx2,.8810,,75.7000,.8800
1,./b3_riscv,11.3940,13912737.9000,396.0000,11.3860
1,./b3_riscv_v,14.9990,19666512.8000,396.8000,14.9900
2,./b3_x86,.8770,,75.9000,.8770
2,./b3_avx2,.9660,,76.0000,.9650
2,./b3_riscv,13.8000,17769559.1000,397.7000,13.7910
2,./b3_riscv_v,13.0190,15881590.7000,399.0000,13.0100
4,./b3_x86,.2490,,76.0000,.2480
4,./b3_avx2,.3130,,76.6000,.3130
4,./b3_riscv,4.5810,12656267.9000,397.9000,4.5780
4,./b3_riscv_v,5.0600,12609118.0000,398.9000,5.0550
8,./b3_x86,.3260,,76.3000,.3260
8,./b3_avx2,.6200,,76.4000,.6190
8,./b3_riscv,13.9620,15597664.2000,398.9000,13.9530
8,./b3_riscv_v,13.2890,15757342.2000,399.9000,13.2800
16,./b3_x86,1.1500,,76.7000,1.1480
16,./b3_avx2,1.2780,,76.9000,1.2770
16,./b3_riscv,12.6570,18274135.1000,400.9000,12.6510
16,./b3_riscv_v,10.1500,13951941.8000,401.9000,10.1410
32,./b3_x86,.2960,,77.2000,.2960
32,./b3_avx2,.2470,,76.8000,.2470
32,./b3_riscv,4.8610,13450704.7000,404.7000,4.8560
32,./b3_riscv_v,5.4880,13106843.9000,405.8000,5.4840
64,./b3_x86,.3150,,77.5000,.3150
64,./b3_avx2,.4210,,77.3000,.4210
64,./b3_riscv,4.7880,12737405.3000,412.0000,4.7820
64,./b3_riscv_v,15.2330,14971638.3000,413.0000,15.2230
128,./b3_x86,1.4510,,77.7000,1.4500
128,./b3_avx2,1.1850,,77.9000,1.1840
128,./b3_riscv,13.6370,16839745.8000,412.9000,13.6280
128,./b3_riscv_v,16.7800,19940076.8000,414.9000,16.7710
256,./b3_x86,2.0120,,77.7000,2.0110
256,./b3_avx2,1.1680,,77.6000,1.1680
256,./b3_riscv,18.1120,23063525.8000,413.2000,18.1070
256,./b3_riscv_v,11.0370,16488164.8000,414.9000,11.0320
512,./b3_x86,2.1490,,77.8000,2.1470
512,./b3_avx2,1.4740,,77.7000,1.4740
512,./b3_riscv,17.7960,19826405.8000,413.0000,17.7860
512,./b3_riscv_v,16.0220,20058999.9000,414.9000,16.0160
1024,./b3_x86,6.4270,,77.7000,6.4280
1024,./b3_avx2,2.4530,,77.6000,2.4500
1024,./b3_riscv,20.3350,29757205.1000,413.1000,20.3260
1024,./b3_riscv_v,21.4210,31077324.4000,414.9000,21.4100
2048,./b3_x86,9.3370,,77.8000,9.3350
2048,./b3_avx2,3.4180,,77.5000,3.4160
2048,./b3_riscv,26.8130,33234132.7000,413.0000,26.8010
2048,./b3_riscv_v,22.3460,39881531.4000,415.0000,22.3370
4096,./b3_x86,7.1850,,77.6000,7.1830
4096,./b3_avx2,3.1100,,77.5000,3.1090
4096,./b3_riscv,31.5760,46507188.9000,412.8000,31.5660
4096,./b3_riscv_v,27.6870,40040611.3000,414.9000,27.6770
8192,./b3_x86,19.9550,,77.6000,19.9520
8192,./b3_avx2,11.5770,,77.4000,11.5760
8192,./b3_riscv,45.7430,80249873.7000,412.8000,45.7250
8192,./b3_riscv_v,46.3360,102664684.8000,415.0000,46.3230
10240,./b3_x86,14.5920,,77.6000,14.5910
10240,./b3_avx2,3.3200,,77.6000,3.3200
10240,./b3_riscv,42.6360,115796335.7000,413.0000,42.6240
10240,./b3_riscv_v,54.4330,119218655.2000,415.0000,54.4150
