FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
0.5,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,5.2240,1.3433,3212967.3900,764314.2302,324.6200,2.3228,5.2189,1.3432
0.5,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.2321,1.4136,3192934.7100,697153.0275,325.8300,2.1403,5.2276,1.4143
0.5,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,6.3300,3.3771,3360258.2600,616537.4328,2008.8700,3.0875,6.3225,3.3699
0.5,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,2.5316,2.0432,3297654.2200,517569.4555,465.8300,2.1589,2.5258,2.0437
0.5,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.8705,1.6324,3262429.4300,771267.2640,465.1100,2.3103,7.8661,1.6320
0.5,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.6927,1.5526,3033929.7900,799069.9684,465.4100,2.3878,7.6878,1.5523
1,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,4.6368,1.8867,3274492.9800,776900.0788,325.0800,2.2166,4.6329,1.8873
1,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,1.3678,.4800,3190981.5400,696863.5534,325.8300,2.2318,1.3625,.4798
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,7.3282,4.1281,3261408.7600,707805.1750,2008.8700,2.6819,7.3209,4.1281
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,2.1164,1.2330,3396236.4400,603743.2466,465.3900,1.9944,2.1110,1.2316
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.6934,2.2498,3291743.9600,678004.2078,465.6400,2.3896,7.6888,2.2502
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.3461,1.9957,3173003.8500,773172.9461,465.9700,2.3598,7.3409,1.9962
2,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,4.7781,1.5866,3140831.7500,776147.4580,325.7200,2.0836,4.7738,1.5877
