FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.9451,1.4110,3106878.1600,741402.4967,310.3800,2.2261,4.9404,1.4119
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,1.4992,.8514,3281384.5500,675645.7121,310.5900,2.1637,1.4937,.8514
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.6356,1.9059,3351785.8900,687910.6266,465.6600,2.3333,7.6310,1.9063
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.0631,1.4474,3239921.4800,733509.2752,465.7100,2.2058,8.0602,1.4473
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,6.1629,2.9304,3227696.1300,679358.5588,465.8400,2.3525,6.1587,2.9308
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.7347,1.5687,3177837.3800,703093.4424,465.5300,2.3935,7.7303,1.5685
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.2020,1.9433,3202410.7100,741462.1351,310.6400,1.7749,4.1972,1.9436
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.3291,2.0327,3329998.3900,688756.5382,310.7400,2.2028,4.3245,2.0335
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.7721,1.6539,3188810.1500,734148.7829,465.3300,2.2047,7.7680,1.6538
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,3.0666,2.3568,3284712.7900,688143.5674,465.3700,2.4357,3.0615,2.3574
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.8807,1.6486,3234976.8000,702658.9868,465.7300,2.6147,7.8772,1.6485
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.6313,2.0670,3255810.3100,1013743.4150,465.7300,2.1580,7.6259,2.0679
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,2.4793,1.8947,3151599.4500,719201.5878,310.3200,2.1160,2.4745,1.8952
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.5677,1.8213,3312875.2800,760666.5492,310.5300,2.1838,4.5629,1.8210
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv,256,7.9328,1.6981,3235315.4900,704837.2166,465.0600,2.5132,7.9286,1.6974
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,2.0789,.8542,3285208.1900,693971.4015,465.5400,2.2821,2.0742,.8535
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,8.0732,1.6162,3338266.7900,696670.4182,465.4700,2.1328,8.0693,1.6166
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.5739,1.6649,3178584.6400,782823.1211,465.7200,2.1637,7.5690,1.6639
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.2098,2.1670,3264024.3500,632485.8544,310.0900,2.2807,3.2047,2.1682
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.7558,1.6130,3078507.7800,902540.4875,310.4400,2.0015,4.7507,1.6131
