FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,4.0191,1.3128,3176393.4000,814634.9765,252.6500,1.9716,4.0118,1.3117
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,3.4062,1.5870,3039668.3600,717273.1339,252.1700,2.1215,3.3991,1.5858
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,6.1189,1.7845,3361710.2800,691374.9536,2010.8700,2.4234,6.1118,1.7837
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,5.7952,3.1653,3239403.6200,650688.4779,465.2900,2.2013,5.7911,3.1656
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.8365,1.4473,3153672.0900,816040.5758,252.1700,2.0102,3.8281,1.4454
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.1572,1.1328,3190743.5000,729086.3340,252.4800,1.8192,4.1497,1.1325
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,18.3434,5.9781,3055927.0500,791591.8398,2010.3600,2.7875,18.3333,5.9775
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.0869,2.8307,3470873.0300,635538.3330,465.7700,2.3102,7.0823,2.8313
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,3.9493,1.3518,3136984.7800,875162.1947,252.4400,1.9815,3.9415,1.3507
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.1206,1.1298,3193943.9100,752576.3450,252.1300,2.1984,4.1135,1.1290
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.5411,4.0445,3112168.2200,763619.6423,2010.2600,2.9210,20.5315,4.0440
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.0468,1.6069,3238501.0000,746113.3248,465.5100,2.2912,8.0425,1.6060
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,2.6768,1.6883,3175446.3600,664706.9593,252.2200,2.1980,2.6702,1.6870
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,3.5350,1.5294,3094484.8000,663490.9859,252.2100,1.7849,3.5278,1.5285
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,18.1442,6.6541,2951657.1400,820578.4370,2010.7700,3.2089,18.1350,6.6526
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,6.4792,2.8880,3219658.0300,723484.6034,465.3300,2.2762,6.4750,2.8881
16,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,1.1382,.4630,3252204.3900,709260.4034,252.2100,2.0410,1.1329,.4617
