FileSizeKB,ExecName,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.8889,1.4084,3124927.7500,786363.0727,310.5300,2.1929,4.8847,1.4077
1,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.0861,1.3604,3221423.8100,784094.6594,310.6400,2.2339,5.0816,1.3605
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.4278,1.6187,3321113.3300,664420.3677,419.4200,2.6913,7.4236,1.6181
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.5166,1.3967,3100408.0800,716349.2403,419.3200,2.2973,7.5114,1.3975
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.9121,1.5374,3187592.8700,674854.0123,310.9200,2.0033,4.9081,1.5381
2,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.7694,1.5682,3110701.1100,793049.7166,310.4400,2.2992,4.7646,1.5687
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,6.7325,1.9697,3327903.1700,907558.9997,419.6500,2.3806,6.7287,1.9692
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.5776,1.3355,3222784.4000,741897.4987,419.5300,2.2691,7.5741,1.3361
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.8250,1.6004,3271920.9300,724082.4165,310.2700,1.7824,4.8203,1.6002
4,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.2780,1.2164,3304352.4500,638969.7669,310.3100,2.4563,5.2727,1.2164
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.6078,1.7211,3178228.8000,717061.1265,418.9600,2.4245,7.6039,1.7214
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.2757,1.7684,3331549.4300,727530.7692,419.0900,2.4580,7.2709,1.7684
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.6522,1.6184,3246086.9900,799141.7166,310.3100,2.2480,4.6478,1.6183
8,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.2717,1.2412,3229871.4500,717984.1175,310.4300,2.2237,5.2674,1.2416
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.5919,1.3649,3250023.6900,672880.6975,419.2200,2.3090,7.5888,1.3648
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.1052,1.6113,3241533.6600,809124.3578,419.1600,2.2032,7.1006,1.6116
16,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.0013,1.4879,3229843.7500,791743.1468,310.6200,2.1390,4.9968,1.4874
16,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,5.2355,1.3036,3174557.4300,807205.3779,310.4100,2.0837,5.2316,1.3037
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.3351,1.6306,3179058.1200,656795.1428,419.0900,2.4742,7.3303,1.6301
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.2513,1.8370,3306349.6300,713364.5225,419.4100,2.0692,7.2468,1.8368
32,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.9579,1.3531,3097392.2000,885776.7316,310.2100,2.2329,4.9532,1.3538
32,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.9501,1.4078,3005749.3500,735333.1073,310.4200,2.1362,4.9466,1.4077
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.0491,1.7396,3194495.6500,791567.2639,419.2700,2.2709,7.0453,1.7406
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.4987,1.6141,3178636.9000,773560.7067,419.0600,2.4446,7.4945,1.6142
64,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,4.9132,1.4639,3329161.5000,791476.2549,310.4700,2.3556,4.9080,1.4642
64,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,4.8099,1.6175,3191755.3800,892740.1434,310.4400,2.1086,4.8058,1.6191
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv,7.5157,1.4928,3237913.6000,721531.9893,419.3400,2.1364,7.5117,1.4922
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./aes_gcm_riscv_v,7.0263,1.7440,3108047.0100,781432.9527,418.9600,2.4245,7.0222,1.7439
128,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,5.0052,1.3744,3033790.0000,825350.7123,310.5100,2.0223,5.0001,1.3738
