FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,4.9943,1.5537,3179083.2700,695255.4687,324.8000,2.1118,4.9896,1.5538
1,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.1530,1.4144,3333011.5200,661450.2176,325.9300,2.1783,5.1486,1.4146
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.1532,4.4557,3044383.0900,693784.9482,2009.5600,3.0929,20.1426,4.4540
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.9045,1.5523,3149346.4700,689382.8960,465.5600,2.2641,7.8999,1.5523
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.7338,1.6036,3302351.3200,931666.6099,465.4600,2.5472,7.7296,1.6031
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.9147,1.6281,3192110.2500,683068.8657,465.5300,2.1929,7.9104,1.6281
2,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,5.1842,1.3265,3079268.5100,761907.0745,325.6700,2.0739,5.1790,1.3261
2,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.0876,1.3271,3084297.7800,717972.4582,326.4400,2.2464,5.0833,1.3271
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,21.0708,4.1845,3017451.1000,748586.4277,2008.4200,2.8255,21.0603,4.1828
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.8847,1.4367,3184665.0600,733354.1064,465.6500,2.1788,7.8811,1.4355
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,8.2056,1.3733,3192552.4400,685880.9861,465.4900,2.3129,8.2009,1.3726
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.8346,1.6105,3178439.6000,773209.4345,465.3700,2.2567,7.8292,1.6107
4,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,5.2382,1.3471,3084455.8800,765136.6541,326.1500,2.1834,5.2347,1.3473
4,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.2222,1.2803,3154204.3900,688834.5371,326.5000,2.3086,5.2172,1.2799
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,19.8045,4.0698,3028462.4400,685733.3545,2008.5500,3.1634,19.7955,4.0695
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.9879,1.6386,3344535.5700,1127534.5387,465.0700,2.5268,7.9844,1.6389
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.6014,1.7894,3131086.3800,784933.2031,465.3600,2.2561,7.5977,1.7890
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.8890,1.5081,3013074.1200,772731.9330,465.5300,2.4918,7.8841,1.5073
