FileSizeKB,ExecName,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,5.0451,1.5024,3237748.1300,693943.1172,305.4400,2.3251,5.0407,1.5021
1,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.8055,1.4479,3156421.5600,750408.2385,305.3200,2.3232,4.8015,1.4486
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.7255,1.8660,3235336.4200,691485.4719,464.7700,2.5489,7.7200,1.8638
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.4988,1.8037,3195234.3800,732746.6917,464.7800,2.2475,7.4940,1.8040
2,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,5.0585,1.3112,3148403.4200,657755.5187,305.3300,2.2002,5.0548,1.3104
2,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,5.1061,1.3584,3161264.9300,720653.2541,305.3700,2.1431,5.1027,1.3573
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.6436,1.9328,3246450.4200,719428.3149,464.8400,2.2123,7.6391,1.9336
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.8597,1.5227,3219068.2800,721200.0187,464.8000,2.3579,7.8559,1.5223
4,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,4.6060,1.4858,3102729.7200,734192.3960,305.7100,2.0798,4.6029,1.4854
4,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,5.1475,1.3071,3188281.4000,692127.4324,305.1900,2.1386,5.1427,1.3073
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.7559,1.8371,3327200.1400,786854.8797,464.7100,2.6843,7.7517,1.8368
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.8875,1.5202,3270975.1100,705729.2598,464.8300,2.3154,7.8830,1.5205
8,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,5.1518,1.4257,3333416.0700,914207.9239,305.3000,2.1794,5.1474,1.4260
8,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,5.0958,1.2806,3116905.2700,779185.4919,305.5000,2.1000,5.0916,1.2814
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.8664,1.8310,3294080.1000,697426.0860,464.9500,1.9716,7.8623,1.8304
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.5961,1.6659,3291812.8900,725120.8769,465.0200,2.2802,7.5920,1.6656
16,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,4.5071,1.6070,3193024.0500,1106200.3647,305.5600,2.0943,4.5032,1.6069
16,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.8236,1.4711,3166287.7800,717698.2315,305.1500,2.0946,4.8202,1.4715
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.3491,2.0467,3265513.8800,1016008.3277,464.4300,2.2814,7.3451,2.0475
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.8091,1.4131,3159989.8100,772330.2490,465.1000,2.5903,7.8055,1.4132
32,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,4.9308,1.5120,3231814.0500,677906.8546,305.7000,1.9467,4.9272,1.5120
32,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.8628,1.3589,3001810.2300,756192.8806,305.6100,2.1113,4.8587,1.3581
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.5614,1.8411,3176863.0400,751454.8446,464.4900,2.5514,7.5575,1.8419
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.5230,1.7593,3050847.8400,834402.6557,464.6400,2.1564,7.5194,1.7592
64,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,4.9044,1.4873,3171305.4100,789865.4862,304.7800,2.1474,4.9003,1.4881
64,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.9138,1.3931,3197773.6300,780920.2823,305.9000,2.1236,4.9092,1.3928
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.7090,1.5244,3178759.9500,753047.4764,464.6900,2.7044,7.7043,1.5244
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,8.2510,1.4171,3350160.3800,719580.1442,465.0000,2.2271,8.2473,1.4165
128,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,4.7955,1.4398,3225572.6900,701718.0739,305.8700,1.9475,4.7904,1.4396
128,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.5910,1.6503,3134592.6100,836817.0512,305.4500,2.1971,4.5865,1.6495
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.7045,1.7667,3199460.4500,668617.6120,464.5200,2.7945,7.7008,1.7658
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.5502,1.7649,3118723.2600,766778.8529,464.6600,2.3967,7.5453,1.7646
256,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,5.1035,1.4094,3238945.3800,702273.4564,305.5500,2.1324,5.0988,1.4092
256,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,5.0858,1.4344,3263862.4000,989361.2516,305.2500,2.3081,5.0817,1.4348
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.7948,1.5381,3182298.6000,757175.9989,464.8000,2.4413,7.7903,1.5384
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.7079,1.8691,3198958.8500,738635.3689,465.3700,2.2832,7.7037,1.8690
512,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,5.1934,1.2531,3139486.0000,719977.1932,305.7100,1.9661,5.1892,1.2529
512,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.8017,1.4867,3197946.0200,757306.6103,305.4200,2.2986,4.7977,1.4863
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,8.0047,1.4992,3168569.2800,755792.0740,464.8900,2.5055,8.0007,1.4990
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.6565,2.0278,3223771.4100,698229.0534,464.7900,2.3507,7.6525,2.0272
1024,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,4.9956,1.3418,3184358.0800,682726.1698,305.5700,2.2011,4.9924,1.3422
1024,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,5.0234,1.2986,3396592.9800,1041126.7950,305.1700,2.2138,5.0193,1.2998
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.7484,1.4960,3100647.2500,776270.4761,464.6100,2.5764,7.7438,1.4968
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.5935,1.9868,3190289.9400,762806.3295,464.3500,2.7143,7.5899,1.9867
2048,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,4.8905,1.5304,3291670.4000,697490.5555,304.8700,2.2479,4.8861,1.5313
2048,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.7235,1.5357,3129589.1000,861189.9632,305.8800,2.0163,4.7185,1.5362
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.6710,1.5868,3130087.6300,758981.1591,464.6700,2.2273,7.6682,1.5861
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.6236,1.6670,3009868.9300,788693.4260,464.7700,2.5054,7.6192,1.6672
4096,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,5.1295,1.3031,3167265.8400,746793.4957,305.9100,2.1217,5.1252,1.3024
4096,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.8957,1.3779,3139364.3000,761093.4060,305.6900,2.0576,4.8917,1.3788
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,7.7577,1.4999,3115843.1900,726754.1153,464.7500,2.1880,7.7543,1.4999
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.7181,1.5452,3173751.9400,719255.6477,464.4600,2.3934,7.7139,1.5452
8192,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_x86,5.0761,1.3416,3139935.3000,763581.4607,305.1900,2.1245,5.0722,1.3415
8192,ulimit -v 8388608; taskset -c 0-3 ./AES-GCM/ELF/aes_gcm_avx2,4.7636,1.5677,3116974.4400,759462.5571,305.5600,2.2508,4.7585,1.5679
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv,8.0005,1.5063,3299909.2300,673417.5306,464.5900,2.4376,7.9967,1.5065
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb ./AES-GCM/ELF/aes_gcm_riscv_v,7.7957,1.5650,3283110.4200,723646.1899,464.3800,2.5759,7.7910,1.5647
