FileSizeKB,ExecName,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,4.8131,1.4769,3115903.1500,743148.0327,305.3300,2.2452,4.8086,1.4774
1,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.8500,1.4703,3171250.5000,724050.1007,306.1600,2.1987,4.8453,1.4700
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.4049,1.4567,3137397.0000,693924.6300,419.2800,2.5380,7.4011,1.4565
1,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.5721,1.4460,3221465.2000,690827.0389,419.8000,2.3237,7.5684,1.4467
2,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,5.1288,1.2745,3212956.4400,760309.6704,305.0600,2.2619,5.1251,1.2751
2,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,5.0987,1.3286,3313513.1900,672235.3625,306.3800,2.1060,5.0945,1.3293
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.2680,1.5755,3263050.7700,756620.7581,419.2700,2.3742,7.2653,1.5755
2,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.2971,1.9204,3313366.7100,774137.0626,419.0400,2.2887,7.2933,1.9203
4,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,5.2637,1.1561,3222993.9700,674396.8586,305.3900,2.3659,5.2601,1.1562
4,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.7221,1.7407,3247293.7200,1163547.3781,306.4900,2.0615,4.7178,1.7404
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.5500,1.5167,3336841.0500,637892.4708,419.4300,2.1459,7.5454,1.5162
4,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.4136,1.6934,3177266.2300,713892.3847,419.4500,2.2422,7.4096,1.6938
8,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,5.1505,1.2607,3262737.5700,740900.1620,305.2900,2.1321,5.1477,1.2609
8,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.9818,1.4023,3264217.0800,734414.8002,306.5400,2.1790,4.9788,1.4036
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.4860,1.3663,3154536.5900,703248.0556,419.1100,2.2754,7.4821,1.3660
8,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.3167,1.5831,3126643.2800,889533.2287,419.3500,2.3806,7.3130,1.5831
16,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,5.0897,1.4301,3309470.3300,786778.0967,305.7200,2.0836,5.0860,1.4306
16,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.7367,1.5963,3169375.2200,772675.1318,306.3000,2.4310,4.7320,1.5974
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.2721,1.6026,3165762.8700,730006.6859,419.2500,2.5391,7.2678,1.6026
16,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.3310,1.7297,3240045.8200,1179163.9301,418.8000,2.4779,7.3270,1.7301
32,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,5.0371,1.1789,3131450.3500,743720.7508,305.5800,2.0648,5.0333,1.1787
32,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,4.8324,1.3246,3007388.7000,797544.2846,306.6600,2.2504,4.8282,1.3241
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.4402,1.5090,3296819.1100,686403.3161,419.3700,2.3266,7.4357,1.5084
32,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.3633,1.6248,3328856.3600,663311.7802,419.1400,2.5338,7.3588,1.6243
64,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_x86,5.0113,1.4300,3244841.9800,701000.0427,305.3800,2.0580,5.0068,1.4302
64,ulimit -v 8388608; taskset -c 0-3 ./BLAKE3/ELF/b3_avx2,5.0986,1.3168,3216465.2300,725757.1756,306.5400,2.0514,5.0944,1.3167
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_riscv,7.5457,1.4041,3227067.3500,781813.9931,419.4200,2.2942,7.5413,1.4035
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 --disable-dtb --rbb-port=0 --log-commits=0 ./BLAKE3/ELF/b3_vector_opt,7.4477,1.5012,3106162.9400,733462.7713,419.0500,2.0512,7.4433,1.5013
